model_kind,node_id,peer_node_id,flow_id,packets_sent,bytes_sent,packets_enqueued,packets_dropped,packets_forwarded,final_queue_occupancy_packets,final_queue_occupancy_bytes,packets_received,bytes_received,final_time_ns
source,0,,0,5,2560,0,0,0,0,0,0,0,10000000000
switch,0,,,0,4416,0,0,16,0,0,0,0,8078125000
switch,1,,,0,4416,0,0,16,0,0,0,0,8000000000
port,0,1,,0,0,8,0,8,0,0,0,0,8000000000
port,1,0,,0,0,8,0,8,0,0,0,0,8078125000
sink,1,,0,0,0,0,0,0,0,0,8,4096,10000000000
