schema_version,workload,mode,selected_mode,sample_count,event_count,sim_execution_median_ns,sim_execution_min_ns,sim_execution_max_ns,sim_execution_median_events_per_second,end_to_end_median_ns,end_to_end_min_ns,end_to_end_max_ns,end_to_end_median_events_per_second
2,fattree-k16-f512,mt,st,15,3751085,1936089708,1918802292,1993304958,1937454.129579,1964281458,1946003875,2021970542,1909647.410621
2,fattree-k16-f512,st,st,15,3751102,1746260375,1733728041,1775687875,2148077.144567,1768118458,1755817334,1797556750,2121521.882783
2,fattree-k32-f4096,mt,mt,15,21600888,7150468958,7094004667,7436040125,3020905.080055,8368827041,8291108584,8645161708,2581112.967704
2,fattree-k32-f4096,st,mt,15,21601562,14452573792,14312242417,15750409917,1494651.562475,15622496417,15489812959,16998490417,1382721.520518
2,fattree-k4-f8,mt,st,15,54069,152690417,151515375,153556000,354108.666820,155797583,154507542,156479750,347046.462203
2,fattree-k4-f8,st,st,15,54072,20691875,20595125,21001833,2613199.625457,23660583,23467000,24032500,2285319.850318
2,fattree-k8-f64,mt,st,15,467849,426733583,424715916,436690833,1096349.147660,431526583,429198209,441502167,1084171.910679
2,fattree-k8-f64,st,st,15,467852,196256958,195395625,197306791,2383874.715922,199970834,199019583,201502792,2339601.184041
