id,flow_id,start_time,end_time,received_packets,received_sizes,queueing_delay_mean,one_way_delay_mean
4,0,0.0,0.002,10,10000,0.0,7.999999999999967e-6
6,1,0.0,0.002,10,10000,0.0,7.999999999999967e-6
