schema_version,workload,mode,sample_count,sim_execution_median_ns,sim_execution_min_ns,sim_execution_max_ns,end_to_end_median_ns,end_to_end_min_ns,end_to_end_max_ns
1,fattree-k4-f8,st,15,20637416,20440958,21007375,24702500,24295000,25419042
1,fattree-k4-f8,mt,15,151459833,149931250,160485875,155970250,154498250,164683541
1,fattree-k8-f64,st,15,202448375,196561625,204402375,208347959,200876084,210197792
1,fattree-k8-f64,mt,15,434011542,425276541,474826250,440528500,431730334,481116500
1,fattree-k16-f512,st,15,1880578541,1755074542,2010002584,1905630292,1778508125,2035526250
1,fattree-k16-f512,mt,15,1945811083,1933370875,2242102334,1976358750,1963363459,2273613208
1,fattree-k32-f4096,st,15,17386321625,15331194875,19189513625,18615065084,16517648833,20418935791
1,fattree-k32-f4096,mt,15,7994751958,7333259875,9334476458,9262936375,8557429875,10604367791
