schema_version,workload,mode,repetition,config_path,sim_execution_ns,end_to_end_ns,simulated_end_time_ns,effective_thread_count
1,fattree-k16-f512,st,6,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1825487250,1850102417,1500000000000,1
1,fattree-k16-f512,mt,6,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1952065667,1982268084,1500000000000,18
1,fattree-k32-f4096,st,6,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,18368903542,19602900750,1500000000000,1
1,fattree-k32-f4096,mt,6,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7994751958,9262936375,1500000000000,18
1,fattree-k4-f8,st,7,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20541375,24771500,1500000000000,1
1,fattree-k4-f8,mt,7,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,149931250,154498250,1500000000000,18
1,fattree-k8-f64,st,7,configs/benchmarks/baseline/fattree_k8_f64_st.toml,203019875,208676875,1500000000000,1
1,fattree-k8-f64,mt,7,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,437703792,444225875,1500000000000,18
1,fattree-k16-f512,st,7,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1880578541,1905630292,1500000000000,1
1,fattree-k16-f512,mt,7,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1934149333,1964460458,1500000000000,18
1,fattree-k32-f4096,st,7,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,18300913542,19529750833,1500000000000,1
1,fattree-k32-f4096,mt,7,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,8071935458,9330409333,1500000000000,18
1,fattree-k4-f8,st,8,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20873500,25419042,1500000000000,1
1,fattree-k4-f8,mt,8,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,158432458,163232375,1500000000000,18
1,fattree-k8-f64,st,8,configs/benchmarks/baseline/fattree_k8_f64_st.toml,202993584,208506417,1500000000000,1
1,fattree-k8-f64,mt,8,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,436878833,444162750,1500000000000,18
1,fattree-k16-f512,st,8,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1945475250,1970546875,1500000000000,1
1,fattree-k16-f512,mt,8,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1937012667,1965900667,1500000000000,18
1,fattree-k32-f4096,st,8,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,17569391000,18778404041,1500000000000,1
1,fattree-k32-f4096,mt,8,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,8039380708,9317029125,1500000000000,18
1,fattree-k4-f8,st,9,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20783041,24660417,1500000000000,1
1,fattree-k4-f8,mt,9,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,151459833,155814875,1500000000000,18
1,fattree-k8-f64,st,9,configs/benchmarks/baseline/fattree_k8_f64_st.toml,203512708,208980334,1500000000000,1
1,fattree-k8-f64,mt,9,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,433215500,439697833,1500000000000,18
1,fattree-k16-f512,st,9,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1991186292,2015924375,1500000000000,1
1,fattree-k16-f512,mt,9,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1944941375,1974215916,1500000000000,18
1,fattree-k32-f4096,st,9,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,17192184083,18396889292,1500000000000,1
1,fattree-k32-f4096,mt,9,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7766861833,9030204292,1500000000000,18
1,fattree-k4-f8,st,10,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20637416,24899000,1500000000000,1
1,fattree-k4-f8,mt,10,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,150460667,154801417,1500000000000,18
1,fattree-k8-f64,st,10,configs/benchmarks/baseline/fattree_k8_f64_st.toml,203897250,209489750,1500000000000,1
1,fattree-k8-f64,mt,10,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,435452166,442027750,1500000000000,18
1,fattree-k16-f512,st,10,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1998535791,2024118125,1500000000000,1
1,fattree-k16-f512,mt,10,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1939948250,1969850917,1500000000000,18
1,fattree-k32-f4096,st,10,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,17107812750,18328510958,1500000000000,1
1,fattree-k32-f4096,mt,10,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7734169917,8981529709,1500000000000,18
1,fattree-k4-f8,st,11,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20648750,25059500,1500000000000,1
1,fattree-k4-f8,mt,11,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,151453416,156052500,1500000000000,18
1,fattree-k8-f64,st,11,configs/benchmarks/baseline/fattree_k8_f64_st.toml,201481042,206967083,1500000000000,1
1,fattree-k8-f64,mt,11,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,433703333,440103333,1500000000000,18
1,fattree-k16-f512,st,11,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1985240458,2010691542,1500000000000,1
1,fattree-k16-f512,mt,11,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1987130250,2017229833,1500000000000,18
1,fattree-k32-f4096,st,11,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,16984606166,18203458292,1500000000000,1
1,fattree-k32-f4096,mt,11,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7651301042,8909017791,1500000000000,18
1,fattree-k4-f8,st,12,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20724750,24797791,1500000000000,1
1,fattree-k4-f8,mt,12,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,150610958,155192458,1500000000000,18
1,fattree-k8-f64,st,12,configs/benchmarks/baseline/fattree_k8_f64_st.toml,204402375,210197792,1500000000000,1
1,fattree-k8-f64,mt,12,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,434011542,440528500,1500000000000,18
1,fattree-k16-f512,st,12,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1992808667,2018692000,1500000000000,1
1,fattree-k16-f512,mt,12,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,2031181625,2061962667,1500000000000,18
1,fattree-k32-f4096,st,12,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,16758770917,17984577000,1500000000000,1
1,fattree-k32-f4096,mt,12,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7741180208,8986961500,1500000000000,18
1,fattree-k4-f8,st,13,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20813084,24702500,1500000000000,1
1,fattree-k4-f8,mt,13,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,150443791,155106208,1500000000000,18
1,fattree-k8-f64,st,13,configs/benchmarks/baseline/fattree_k8_f64_st.toml,203535833,209238709,1500000000000,1
1,fattree-k8-f64,mt,13,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,434973375,441627875,1500000000000,18
1,fattree-k16-f512,st,13,configs/benchmarks/baseline/fattree_k16_f512_st.toml,2010002584,2035526250,1500000000000,1
1,fattree-k16-f512,mt,13,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,2057240792,2088729375,1500000000000,18
1,fattree-k32-f4096,st,13,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,18043402750,19258126917,1500000000000,1
1,fattree-k32-f4096,mt,13,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7811401750,9118401250,1500000000000,18
1,fattree-k4-f8,st,14,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20508167,24610417,1500000000000,1
1,fattree-k4-f8,mt,14,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,151909750,156652916,1500000000000,18
1,fattree-k8-f64,st,14,configs/benchmarks/baseline/fattree_k8_f64_st.toml,202237500,207976416,1500000000000,1
1,fattree-k8-f64,mt,14,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,434040792,440641250,1500000000000,18
1,fattree-k16-f512,st,14,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1990550250,2016716916,1500000000000,1
1,fattree-k16-f512,mt,14,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,2069458125,2100256209,1500000000000,18
1,fattree-k32-f4096,st,14,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,16769640209,17969464458,1500000000000,1
1,fattree-k32-f4096,mt,14,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7357371792,8598109500,1500000000000,18
1,fattree-k4-f8,st,15,configs/benchmarks/baseline/fattree_k4_f8_st.toml,20596250,24502250,1500000000000,1
1,fattree-k4-f8,mt,15,configs/benchmarks/baseline/fattree_k4_f8_mt.toml,152057750,155970250,1500000000000,18
1,fattree-k8-f64,st,15,configs/benchmarks/baseline/fattree_k8_f64_st.toml,197429750,202005625,1500000000000,1
1,fattree-k8-f64,mt,15,configs/benchmarks/baseline/fattree_k8_f64_mt.toml,426006958,431826542,1500000000000,18
1,fattree-k16-f512,st,15,configs/benchmarks/baseline/fattree_k16_f512_st.toml,1768662334,1792519625,1500000000000,1
1,fattree-k16-f512,mt,15,configs/benchmarks/baseline/fattree_k16_f512_mt.toml,1938900083,1968275625,1500000000000,18
1,fattree-k32-f4096,st,15,configs/benchmarks/baseline/fattree_k32_f4096_st.toml,15331194875,16517648833,1500000000000,1
1,fattree-k32-f4096,mt,15,configs/benchmarks/baseline/fattree_k32_f4096_mt.toml,7333259875,8557429875,1500000000000,18
