flow_key_channel	flow_key_idx	flow_id	src	dst	flow_size	channel_id	chunk_id	chunk_count	conn_type	prev	parent	child
0	0	2899	25	26	262144	0	0	1	x		-1	
0	0	2900	88	89	262144	0	0	1	x		-1	
0	0	2901	108	109	262144	0	0	1	x		-1	
0	0	2902	1	2	262144	0	0	1	x		-1	
0	0	2903	86	87	262144	0	0	1	x		-1	
0	0	2904	51	52	262144	0	0	1	x		-1	
0	0	2905	8	9	262144	0	0	1	x		-1	
0	0	2906	49	50	262144	0	0	1	x		-1	
0	0	2907	38	39	262144	0	0	1	x		-1	
0	0	2908	24	25	262144	0	0	1	x		-1	
0	0	2909	94	95	262144	0	0	1	x		-1	
0	0	2910	78	79	262144	0	0	1	x		-1	
0	0	2911	0	1	262144	0	0	1	x		-1	
0	0	2912	118	119	262144	0	0	1	x		-1	
0	0	2913	41	42	262144	0	0	1	x		-1	
0	0	2914	124	125	262144	0	0	1	x		-1	
0	0	2915	102	103	262144	0	0	1	x		-1	
0	0	2916	106	107	262144	0	0	1	x		-1	
0	0	2917	70	71	262144	0	0	1	x		-1	
0	0	2918	87	80	262144	0	0	1	x		-1	
0	0	2919	57	58	262144	0	0	1	x		-1	
0	0	2920	14	15	262144	0	0	1	x		-1	
0	0	2921	48	49	262144	0	0	1	x		-1	
0	0	2922	39	32	262144	0	0	1	x		-1	
0	0	2923	30	31	262144	0	0	1	x		-1	
0	0	2924	107	108	262144	0	0	1	x		-1	
0	0	2925	31	24	262144	0	0	1	x		-1	
0	0	2926	71	64	262144	0	0	1	x		-1	
0	0	2927	119	112	262144	0	0	1	x		-1	
0	0	2928	40	41	262144	0	0	1	x		-1	
0	0	2929	122	123	262144	0	0	1	x		-1	
0	0	2930	103	96	262144	0	0	1	x		-1	
0	0	2931	105	106	262144	0	0	1	x		-1	
0	0	2932	85	86	262144	0	0	1	x		-1	
0	0	2933	56	57	262144	0	0	1	x		-1	
0	0	2934	37	38	262144	0	0	1	x		-1	
0	0	2935	117	118	262144	0	0	1	x		-1	
0	0	2936	54	55	262144	0	0	1	x		-1	
0	0	2937	123	124	262144	0	0	1	x		-1	
0	0	2938	6	7	262144	0	0	1	x		-1	
0	0	2939	15	8	262144	0	0	1	x		-1	
0	0	2940	29	30	262144	0	0	1	x		-1	
0	0	2941	46	47	262144	0	0	1	x		-1	
0	0	2942	28	29	262144	0	0	1	x		-1	
0	0	2943	95	88	262144	0	0	1	x		-1	
0	0	2944	55	48	262144	0	0	1	x		-1	
0	0	2945	121	122	262144	0	0	1	x		-1	
0	0	2946	7	0	262144	0	0	1	x		-1	
0	0	2947	120	121	262144	0	0	1	x		-1	
0	0	2948	36	37	262144	0	0	1	x		-1	
0	0	2949	116	117	262144	0	0	1	x		-1	
0	0	2950	47	40	262144	0	0	1	x		-1	
0	0	2951	26	27	262144	0	0	1	x		-1	
0	0	2952	101	102	262144	0	0	1	x		-1	
0	0	2953	79	72	262144	0	0	1	x		-1	
0	0	2954	100	101	262144	0	0	1	x		-1	
0	0	2955	114	115	262144	0	0	1	x		-1	
0	0	2956	45	46	262144	0	0	1	x		-1	
0	0	2957	62	63	262144	0	0	1	x		-1	
0	0	2958	126	127	262144	0	0	1	x		-1	
0	0	2959	5	6	262144	0	0	1	x		-1	
0	0	2960	77	78	262144	0	0	1	x		-1	
